Phenocode	trait	nRegion	nRegionColoc	nRegionPval	nRegionPvalColoc	propColoc	propPvalColoc
30190	MONO_P	400	149	95	61	0.3725	0.642105263157895
30200	NEUT_P	386	136	99	59	0.352331606217617	0.595959595959596
30140	NEUT	388	129	89	54	0.332474226804124	0.606741573033708
30180	LYMPH_P	387	118	93	47	0.304909560723514	0.505376344086022
30040	MCV	435	111	101	46	0.255172413793103	0.455445544554456
30130	MONO	431	103	93	46	0.238979118329466	0.494623655913979
30210	EO_P	435	103	127	44	0.236781609195402	0.346456692913386
30220	BASO_P	152	69	50	39	0.453947368421053	0.78
30160	BASO	119	63	43	37	0.529411764705882	0.86046511627907
30150	EO	412	85	115	33	0.20631067961165	0.28695652173913
30010	RBC	433	78	83	33	0.18013856812933	0.397590361445783
30090	PLTC	506	85	109	30	0.16798418972332	0.275229357798165
30050	MCH	365	82	73	30	0.224657534246575	0.410958904109589
30260	MRV	381	83	81	29	0.217847769028871	0.358024691358025
30000	WBC	442	96	89	28	0.217194570135747	0.314606741573034
30270	MSCV	370	77	69	27	0.208108108108108	0.391304347826087
30120	LYMPH	471	69	95	19	0.146496815286624	0.2
30280	IRF	254	56	46	12	0.220472440944882	0.260869565217391
30250	RET	358	58	61	11	0.162011173184358	0.180327868852459
30080	PLT	508	54	91	11	0.106299212598425	0.120879120879121
30290	HLSR_P	370	62	58	10	0.167567567567568	0.172413793103448
30020	HGB	346	42	63	10	0.121387283236994	0.158730158730159
30240	RET_P	323	48	45	8	0.148606811145511	0.177777777777778
30300	HLSR	349	58	44	7	0.166189111747851	0.159090909090909
30070	RBC_W	312	48	35	7	0.153846153846154	0.2
30100	MPV	560	34	114	5	0.0607142857142857	0.043859649122807
30060	MCHC	109	25	15	5	0.229357798165138	0.333333333333333
30030	HCT	265	30	19	3	0.113207547169811	0.157894736842105
30110	PDW	403	18	88	3	0.0446650124069479	0.0340909090909091
