gene1	gene2	score	gene1_name	chr1	gene2_name	chr2	score_map1	score_map2
ENSG00000138468.11	ENSG00000197928.6	183	SENP7	chr3	ZNF677	chr19	0.951869453096757	0.899551052053169
ENSG00000138468.11	ENSG00000188227.8	163	SENP7	chr3	ZNF793	chr19	0.951869453096757	0.864302345332614
ENSG00000138468.11	ENSG00000197128.7	128	SENP7	chr3	ZNF772	chr19	0.951869453096757	0.944926373171513
ENSG00000138468.11	ENSG00000197808.7	92.5	SENP7	chr3	ZNF461	chr19	0.951869453096757	0.878344482389667
ENSG00000138468.11	ENSG00000182986.8	84	SENP7	chr3	ZNF320	chr19	0.951869453096757	0.769399289451981
ENSG00000138468.11	ENSG00000181894.10	50.5	SENP7	chr3	ZNF329	chr19	0.951869453096757	0.829541806844075
ENSG00000138468.11	ENSG00000166704.7	43	SENP7	chr3	ZNF606	chr19	0.951869453096757	0.95408802451544
ENSG00000138468.11	ENSG00000102893.11	41.5	SENP7	chr3	PHKB	chr16	0.951869453096757	0.971785121969018
ENSG00000138468.11	ENSG00000197701.7	40	SENP7	chr3	ZNF595	chr4	0.951869453096757	0.908686243140752
ENSG00000138468.11	ENSG00000188785.7	39.5	SENP7	chr3	ZNF548	chr19	0.951869453096757	0.895161906576044
ENSG00000138468.11	ENSG00000204514.5	39	SENP7	chr3	ZNF814	chr19	0.951869453096757	0.712472340280928
ENSG00000138468.11	ENSG00000250312.2	35.5	SENP7	chr3	ZNF718	chr4	0.951869453096757	0.959649815687551
ENSG00000138468.11	ENSG00000152439.8	32	SENP7	chr3	ZNF773	chr19	0.951869453096757	0.743928663467458
ENSG00000138468.11	ENSG00000171649.7	30.5	SENP7	chr3	ZIK1	chr19	0.951869453096757	0.926795605223597
ENSG00000138468.11	ENSG00000170949.13	29	SENP7	chr3	ZNF160	chr19	0.951869453096757	0.953333791248502
ENSG00000138468.11	ENSG00000121406.4	28.5	SENP7	chr3	ZNF549	chr19	0.951869453096757	0.860053854541788
ENSG00000138468.11	ENSG00000181666.13	28.5	SENP7	chr3	HKR1	chr19	0.951869453096757	0.871140230407704
ENSG00000138468.11	ENSG00000181007.7	27.5	SENP7	chr3	ZFP82	chr19	0.951869453096757	0.966049191170955
ENSG00000138468.11	ENSG00000198131.9	27.5	SENP7	chr3	ZNF544	chr19	0.951869453096757	0.922931525829343
ENSG00000138468.11	ENSG00000267508.1	23.5	SENP7	chr3	ZNF285	chr19	0.951869453096757	0.727227791200853
ENSG00000138468.11	ENSG00000127903.12	22	SENP7	chr3	ZNF835	chr19	0.951869453096757	0.83231708911792
ENSG00000138468.11	ENSG00000197016.7	22	SENP7	chr3	ZNF470	chr19	0.951869453096757	0.958210737459112
ENSG00000138468.11	ENSG00000179909.11	19	SENP7	chr3	ZNF154	chr19	0.951869453096757	0.882234820142876
ENSG00000138468.11	ENSG00000245680.5	16.5	SENP7	chr3	ZNF585B	chr19	0.951869453096757	0.779062141058364
ENSG00000138468.11	ENSG00000232677.2	16	SENP7	chr3	LINC00665	chr19	0.951869453096757	0.697442592604414
ENSG00000138468.11	ENSG00000167555.9	15	SENP7	chr3	ZNF528	chr19	0.951869453096757	0.893411083514136
ENSG00000138468.11	ENSG00000221923.4	14	SENP7	chr3	ZNF880	chr19	0.951869453096757	0.944538745140611
ENSG00000138468.11	ENSG00000198429.5	12	SENP7	chr3	ZNF69	chr19	0.951869453096757	0.743458462588952
ENSG00000138468.11	ENSG00000183647.6	9.5	SENP7	chr3	ZNF530	chr19	0.951869453096757	0.925090314645224
ENSG00000138468.11	ENSG00000197937.8	9	SENP7	chr3	ZNF347	chr19	0.951869453096757	0.864671331440422
ENSG00000138468.11	ENSG00000258405.5	8	SENP7	chr3	ZNF578	chr19	0.951869453096757	0.955480139984067
ENSG00000138468.11	ENSG00000171606.13	6	SENP7	chr3	ZNF274	chr19	0.951869453096757	0.976166556297265
ENSG00000138468.11	ENSG00000197857.9	6	SENP7	chr3	ZNF44	chr19	0.951869453096757	0.893958850528783
ENSG00000138468.11	ENSG00000203326.5	6	SENP7	chr3	ZNF525	chr19	0.951869453096757	0.749968813993623
ENSG00000138468.11	ENSG00000198046.7	5	SENP7	chr3	ZNF667	chr19	0.951869453096757	0.92335814574325
ENSG00000138468.11	ENSG00000161551.8	3	SENP7	chr3	ZNF577	chr19	0.951869453096757	0.985822695290395
ENSG00000138468.11	ENSG00000256060.2	3	SENP7	chr3	TRAPPC2P1	chr19	0.951869453096757	0.844012411646527
ENSG00000138468.11	ENSG00000105136.15	2	SENP7	chr3	ZNF419	chr19	0.951869453096757	0.838719005318253
ENSG00000138468.11	ENSG00000269343.2	2	SENP7	chr3	ZNF587B	chr19	0.951869453096757	0.83628993005452
ENSG00000138468.11	ENSG00000121413.8	1.5	SENP7	chr3	ZSCAN18	chr19	0.951869453096757	0.98529469835862
ENSG00000138468.11	ENSG00000152443.8	1	SENP7	chr3	ZNF776	chr19	0.951869453096757	0.967333144095583
