gene	chr	start	end	GeneNameConv	Remove	RemovePseu	RemoveLowmapp	RemoveCrossmapp	RemoveAuto
WASH7P	chr1	    14363	    29806	ENSG00000227232.4	TRUE	TRUE	TRUE	TRUE	FALSE
NOC2L	chr1	   879584	   894689	ENSG00000188976.6	TRUE	FALSE	TRUE	TRUE	FALSE
KLHL17	chr1	   895967	   901095	ENSG00000187961.9	FALSE	FALSE	FALSE	FALSE	FALSE
PLEKHN1	chr1	   901877	   911245	ENSG00000187583.6	FALSE	FALSE	FALSE	FALSE	FALSE
C1orf170	chr1	   910579	   917497	ENSG00000187642.5	FALSE	FALSE	FALSE	FALSE	FALSE
HES4	chr1	   934342	   935552	ENSG00000188290.6	FALSE	FALSE	FALSE	FALSE	FALSE
ISG15	chr1	   948803	   949920	ENSG00000187608.5	FALSE	FALSE	FALSE	FALSE	FALSE
AGRN	chr1	   955503	   991496	ENSG00000188157.9	TRUE	FALSE	FALSE	TRUE	FALSE
C1orf159	chr1	  1017198	  1051741	ENSG00000131591.13	TRUE	FALSE	FALSE	TRUE	FALSE
TNFRSF18	chr1	  1138888	  1142071	ENSG00000186891.9	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF4	chr1	  1146706	  1149518	ENSG00000186827.6	FALSE	FALSE	FALSE	FALSE	FALSE
SDF4	chr1	  1152288	  1167411	ENSG00000078808.12	FALSE	FALSE	FALSE	FALSE	FALSE
B3GALT6	chr1	  1167629	  1170421	ENSG00000176022.3	FALSE	FALSE	FALSE	FALSE	FALSE
FAM132A	chr1	  1177826	  1182102	ENSG00000184163.3	FALSE	FALSE	FALSE	FALSE	FALSE
UBE2J2	chr1	  1189289	  1209265	ENSG00000160087.16	FALSE	FALSE	FALSE	FALSE	FALSE
SCNN1D	chr1	  1215816	  1227409	ENSG00000162572.15	TRUE	FALSE	FALSE	TRUE	FALSE
ACAP3	chr1	  1227756	  1244989	ENSG00000131584.14	TRUE	FALSE	FALSE	TRUE	FALSE
PUSL1	chr1	  1243947	  1247057	ENSG00000169972.7	FALSE	FALSE	FALSE	FALSE	FALSE
CPSF3L	chr1	  1246965	  1260071	ENSG00000127054.14	TRUE	FALSE	FALSE	TRUE	FALSE
GLTPD1	chr1	  1260136	  1264277	ENSG00000224051.2	FALSE	FALSE	FALSE	FALSE	FALSE
TAS1R3	chr1	  1266694	  1270686	ENSG00000169962.4	FALSE	FALSE	FALSE	FALSE	FALSE
DVL1	chr1	  1270656	  1284730	ENSG00000107404.13	TRUE	FALSE	FALSE	TRUE	FALSE
MXRA8	chr1	  1288069	  1297157	ENSG00000162576.12	FALSE	FALSE	FALSE	FALSE	FALSE
AURKAIP1	chr1	  1309110	  1310875	ENSG00000175756.9	TRUE	FALSE	FALSE	TRUE	FALSE
CCNL2	chr1	  1321091	  1334708	ENSG00000221978.7	TRUE	FALSE	FALSE	TRUE	FALSE
MRPL20	chr1	  1337288	  1342693	ENSG00000242485.1	TRUE	FALSE	FALSE	TRUE	FALSE
ATAD3C	chr1	  1385069	  1405538	ENSG00000215915.5	TRUE	FALSE	TRUE	TRUE	FALSE
ATAD3B	chr1	  1407143	  1433228	ENSG00000160072.15	TRUE	FALSE	TRUE	TRUE	FALSE
ATAD3A	chr1	  1447531	  1470067	ENSG00000197785.9	TRUE	FALSE	TRUE	TRUE	FALSE
SSU72	chr1	  1477053	  1510249	ENSG00000160075.10	TRUE	FALSE	FALSE	TRUE	FALSE
C1orf233	chr1	  1533392	  1535476	ENSG00000228594.1	FALSE	FALSE	FALSE	FALSE	FALSE
MIB2	chr1	  1550795	  1565990	ENSG00000197530.8	TRUE	FALSE	FALSE	TRUE	FALSE
MMP23B	chr1	  1567474	  1570639	ENSG00000189409.8	TRUE	FALSE	TRUE	TRUE	FALSE
CDK11B	chr1	  1570603	  1590473	ENSG00000248333.3	TRUE	FALSE	TRUE	TRUE	FALSE
SLC35E2B	chr1	  1592939	  1624167	ENSG00000189339.7	TRUE	FALSE	TRUE	TRUE	FALSE
CDK11A	chr1	  1634169	  1655766	ENSG00000008128.18	TRUE	FALSE	TRUE	TRUE	FALSE
SLC35E2	chr1	  1656277	  1677431	ENSG00000215790.2	TRUE	FALSE	TRUE	TRUE	FALSE
NADK	chr1	  1682671	  1711896	ENSG00000008130.11	TRUE	FALSE	TRUE	TRUE	FALSE
GNB1	chr1	  1716729	  1822495	ENSG00000078369.13	TRUE	FALSE	FALSE	TRUE	FALSE
PRKCZ	chr1	  1981909	  2116834	ENSG00000067606.11	TRUE	FALSE	FALSE	TRUE	FALSE
C1orf86	chr1	  2115903	  2144159	ENSG00000162585.12	TRUE	FALSE	FALSE	TRUE	FALSE
SKI	chr1	  2160134	  2241558	ENSG00000157933.9	FALSE	FALSE	FALSE	FALSE	FALSE
MORN1	chr1	  2252692	  2323146	ENSG00000116151.9	TRUE	FALSE	FALSE	TRUE	FALSE
RER1	chr1	  2323267	  2336883	ENSG00000157916.14	FALSE	FALSE	FALSE	FALSE	FALSE
PEX10	chr1	  2336236	  2345236	ENSG00000157911.5	FALSE	FALSE	FALSE	FALSE	FALSE
PLCH2	chr1	  2357419	  2436969	ENSG00000149527.13	FALSE	FALSE	FALSE	FALSE	FALSE
PANK4	chr1	  2439972	  2458039	ENSG00000157881.9	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF14	chr1	  2487078	  2496821	ENSG00000157873.13	FALSE	FALSE	FALSE	FALSE	FALSE
FAM213B	chr1	  2517930	  2522908	ENSG00000157870.10	TRUE	FALSE	FALSE	TRUE	FALSE
MMEL1	chr1	  2522078	  2564481	ENSG00000142606.11	FALSE	FALSE	FALSE	FALSE	FALSE
MEGF6	chr1	  3406484	  3528059	ENSG00000162591.11	FALSE	FALSE	FALSE	FALSE	FALSE
TPRG1L	chr1	  3541566	  3546691	ENSG00000158109.10	TRUE	FALSE	FALSE	TRUE	FALSE
WRAP73	chr1	  3547331	  3569325	ENSG00000116213.11	TRUE	FALSE	FALSE	TRUE	FALSE
TP73	chr1	  3569084	  3652765	ENSG00000078900.10	FALSE	FALSE	FALSE	FALSE	FALSE
TP73-AS1	chr1	  3652548	  3663900	ENSG00000227372.6	TRUE	TRUE	FALSE	TRUE	FALSE
SMIM1	chr1	  3689352	  3692546	ENSG00000235169.3	FALSE	FALSE	FALSE	FALSE	FALSE
LRRC47	chr1	  3696784	  3713068	ENSG00000130764.5	TRUE	FALSE	FALSE	TRUE	FALSE
CEP104	chr1	  3728645	  3773778	ENSG00000116198.8	TRUE	FALSE	FALSE	TRUE	FALSE
DFFB	chr1	  3773845	  3801993	ENSG00000169598.11	TRUE	FALSE	TRUE	TRUE	FALSE
C1orf174	chr1	  3805689	  3816857	ENSG00000198912.6	TRUE	FALSE	TRUE	TRUE	FALSE
NPHP4	chr1	  5922871	  6052533	ENSG00000131697.13	FALSE	FALSE	FALSE	FALSE	FALSE
KCNAB2	chr1	  6051526	  6161253	ENSG00000069424.10	FALSE	FALSE	FALSE	FALSE	FALSE
RPL22	chr1	  6241329	  6269449	ENSG00000116251.5	TRUE	FALSE	TRUE	TRUE	FALSE
RNF207	chr1	  6265535	  6281359	ENSG00000158286.8	TRUE	FALSE	FALSE	TRUE	FALSE
ICMT	chr1	  6281253	  6296032	ENSG00000116237.11	TRUE	FALSE	FALSE	TRUE	FALSE
GPR153	chr1	  6307406	  6321035	ENSG00000158292.6	FALSE	FALSE	FALSE	FALSE	FALSE
ACOT7	chr1	  6324329	  6454451	ENSG00000097021.15	TRUE	FALSE	FALSE	TRUE	FALSE
ESPN	chr1	  6484848	  6521430	ENSG00000187017.10	TRUE	FALSE	FALSE	TRUE	FALSE
TNFRSF25	chr1	  6521211	  6526255	ENSG00000215788.5	TRUE	FALSE	FALSE	TRUE	FALSE
PLEKHG5	chr1	  6526152	  6580121	ENSG00000171680.16	TRUE	FALSE	FALSE	TRUE	FALSE
NOL9	chr1	  6581407	  6614595	ENSG00000162408.10	TRUE	FALSE	TRUE	TRUE	FALSE
ZBTB48	chr1	  6640061	  6649340	ENSG00000204859.7	FALSE	FALSE	FALSE	FALSE	FALSE
KLHL21	chr1	  6650784	  6674667	ENSG00000162413.12	TRUE	FALSE	FALSE	TRUE	FALSE
PHF13	chr1	  6673745	  6684093	ENSG00000116273.5	FALSE	FALSE	FALSE	FALSE	FALSE
THAP3	chr1	  6684926	  6695646	ENSG00000041988.11	TRUE	FALSE	FALSE	TRUE	FALSE
DNAJC11	chr1	  6694228	  6761984	ENSG00000007923.11	FALSE	FALSE	FALSE	FALSE	FALSE
CAMTA1	chr1	  6845384	  7829766	ENSG00000171735.14	TRUE	FALSE	FALSE	TRUE	FALSE
VAMP3	chr1	  7831329	  7841492	ENSG00000049245.8	TRUE	FALSE	FALSE	TRUE	FALSE
PER3	chr1	  7844380	  7905237	ENSG00000049246.10	FALSE	FALSE	FALSE	FALSE	FALSE
UTS2	chr1	  7903143	  7913572	ENSG00000049247.9	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF9	chr1	  7979907	  8000926	ENSG00000049249.4	TRUE	FALSE	FALSE	TRUE	FALSE
PARK7	chr1	  8014351	  8045565	ENSG00000116288.8	TRUE	FALSE	FALSE	TRUE	FALSE
ERRFI1	chr1	  8064464	  8086368	ENSG00000116285.8	FALSE	FALSE	FALSE	FALSE	FALSE
SLC45A1	chr1	  8377886	  8404227	ENSG00000162426.10	FALSE	FALSE	FALSE	FALSE	FALSE
RERE	chr1	  8412457	  8877702	ENSG00000142599.13	TRUE	FALSE	FALSE	TRUE	FALSE
ENO1	chr1	  8921061	  8939308	ENSG00000074800.9	TRUE	FALSE	FALSE	TRUE	FALSE
CA6	chr1	  9005926	  9035151	ENSG00000131686.10	TRUE	FALSE	TRUE	TRUE	FALSE
SLC2A5	chr1	  9095166	  9148537	ENSG00000142583.13	TRUE	FALSE	FALSE	TRUE	FALSE
GPR157	chr1	  9160364	  9189229	ENSG00000180758.10	TRUE	FALSE	TRUE	TRUE	FALSE
H6PD	chr1	  9294834	  9331396	ENSG00000049239.8	TRUE	FALSE	FALSE	TRUE	FALSE
SPSB1	chr1	  9352939	  9429591	ENSG00000171621.9	FALSE	FALSE	FALSE	FALSE	FALSE
5S_rRNA	chr2	162266065	162266181	ENSG00000271924.1	TRUE	TRUE	TRUE	TRUE	FALSE
SLC25A33	chr1	  9599541	  9645237	ENSG00000171612.6	TRUE	FALSE	TRUE	TRUE	FALSE
TMEM201	chr1	  9648932	  9674935	ENSG00000188807.8	FALSE	FALSE	FALSE	FALSE	FALSE
C1orf200	chr1	  9712668	  9714644	ENSG00000179840.5	TRUE	FALSE	FALSE	TRUE	FALSE
PIK3CD	chr1	  9711790	  9789172	ENSG00000171608.11	TRUE	FALSE	FALSE	TRUE	FALSE
CLSTN1	chr1	  9789084	  9884584	ENSG00000171603.12	FALSE	FALSE	FALSE	FALSE	FALSE
CTNNBIP1	chr1	  9908334	  9970394	ENSG00000178585.10	FALSE	FALSE	FALSE	FALSE	FALSE
LZIC	chr1	  9982173	 10003465	ENSG00000162441.7	TRUE	FALSE	FALSE	TRUE	FALSE
NMNAT1	chr1	 10003486	 10045559	ENSG00000173614.9	TRUE	FALSE	TRUE	TRUE	FALSE
RBP7	chr1	 10057264	 10076078	ENSG00000162444.11	TRUE	FALSE	TRUE	TRUE	FALSE
UBE4B	chr1	 10092890	 10241297	ENSG00000130939.14	TRUE	FALSE	FALSE	TRUE	FALSE
KIF1B	chr1	 10270863	 10441661	ENSG00000054523.12	TRUE	FALSE	FALSE	TRUE	FALSE
PGD	chr1	 10458649	 10480201	ENSG00000142657.16	TRUE	FALSE	FALSE	TRUE	FALSE
APITD1-CORT	chr1	 10490159	 10512210	ENSG00000251503.3	FALSE	FALSE	FALSE	FALSE	FALSE
DFFA	chr1	 10516579	 10532583	ENSG00000160049.7	TRUE	FALSE	TRUE	TRUE	FALSE
PEX14	chr1	 10532345	 10690815	ENSG00000142655.8	TRUE	FALSE	FALSE	TRUE	FALSE
CASZ1	chr1	 10696661	 10856707	ENSG00000130940.10	TRUE	FALSE	FALSE	TRUE	FALSE
C1orf127	chr1	 11006528	 11042094	ENSG00000175262.10	TRUE	FALSE	FALSE	TRUE	FALSE
TARDBP	chr1	 11072414	 11085796	ENSG00000120948.11	TRUE	FALSE	TRUE	TRUE	FALSE
MASP2	chr1	 11086580	 11107290	ENSG00000009724.12	TRUE	FALSE	FALSE	TRUE	FALSE
SRM	chr1	 11114641	 11120081	ENSG00000116649.5	TRUE	FALSE	FALSE	TRUE	FALSE
EXOSC10	chr1	 11126675	 11159938	ENSG00000171824.9	TRUE	FALSE	FALSE	TRUE	FALSE
MTOR	chr1	 11166592	 11322564	ENSG00000198793.8	FALSE	FALSE	FALSE	FALSE	FALSE
